mfl_id,merge_name,name,team,swish_id,ktc_id,position,college,draft_pick,draft_round,cbs_id,age,stats_id,draft_year,fleaflicker_id,yahoo_id,birthdate,draft_ovr,fantasy_data_id,fantasypros_id,sleeper_id,nfl_id,height,pfr_id,sportradar_id,pff_id,espn_id,rotowire_id,db_season,rotoworld_id,gsis_id,cfbref_id,weight,twitter_username,stats_global_id
17030,cam ward,Cam Ward,FA,,,QB,Miami,,,,,,2025.0,,,,,,,,,,,,,,,2025,,,,,,0.0
17031,shedeur sanders,Shedeur Sanders,FA,,,QB,Colorado,,,,,,2025.0,,,,,,,12524.0,,74.0,,,,,18479.0,2025,,,,215.0,,0.0
17032,jaxson dart,Jaxson Dart,FA,,,QB,Mississippi,,,,,,2025.0,,,,,,,,,,,,,,,2025,,,,,,0.0
17033,jalen milroe,Jalen Milroe,FA,,,QB,Alabama,,,,,,2025.0,,,,,,,12510.0,,74.0,,,,,,2025,,,,225.0,,0.0
17034,quinn ewers,Quinn Ewers,FA,,,QB,Texas,,,,,,2025.0,,,,,,,12500.0,,74.0,,,,,,2025,,,,210.0,,0.0
17035,riley leonard,Riley Leonard,FA,,,QB,Notre Dame,,,,,,2025.0,,,,,,,12470.0,,76.0,,,,,18513.0,2025,,,,216.0,,0.0
17036,will howard,Will Howard,FA,,,QB,Ohio State,,,,,,2025.0,,,,,,,12511.0,,76.0,,,,,18512.0,2025,,,,235.0,,0.0
17037,dillon gabriel,Dillon Gabriel,FA,,,QB,Oregon,,,,,,2025.0,,,,,,,12486.0,,72.0,,,,,18496.0,2025,,,,200.0,,0.0
17038,kyle mccord,Kyle McCord,FA,,,QB,Syracuse,,,,,,2025.0,,,,,,,12494.0,,75.0,,,,,,2025,,,,220.0,,0.0
17039,tyler shough,Tyler Shough,FA,,,QB,Louisville,,,,,,2025.0,,,,,,,12545.0,,77.0,,,,,,2025,,,,225.0,,0.0
17040,brady cook,Brady Cook,FA,,,QB,Missouri,,,,,,2025.0,,,,,,,12538.0,,74.0,,,,,,2025,,,,215.0,,0.0
17041,kurtis rourke,Kurtis Rourke,FA,,,QB,Indiana,,,,,,2025.0,,,,,,,12477.0,,77.0,,,,,,2025,,,,223.0,,0.0
17042,ashton jeanty,Ashton Jeanty,FA,,,RB,Boise State,,,,,,2025.0,,,,,,,12527.0,,69.0,,,,,18487.0,2025,,,,215.0,,0.0
17043,treveyon henderson,TreVeyon Henderson,FA,,,RB,Ohio State,,,,,,2025.0,,,,,,,12529.0,,70.0,,,,,,2025,,,,208.0,,0.0
17044,omarion hampton,Omarion Hampton,FA,,,RB,North Carolina,,,,,,2025.0,,,,,,,12507.0,,72.0,,,,,18445.0,2025,,,,220.0,,0.0
17045,cam skattebo,Cam Skattebo,FA,,,RB,Arizona State,,,,,,2025.0,,,,,,,12481.0,,71.0,,,,,18514.0,2025,,,,215.0,,0.0
17046,devin neal,Devin Neal,FA,,,RB,Kansas,,,,,,2025.0,,,,,,,12476.0,,71.0,,,,,18521.0,2025,,,,215.0,,0.0
17047,dylan sampson,Dylan Sampson,FA,,,RB,Tennessee,,,,,,2025.0,,,,,,,12469.0,,71.0,,,,,,2025,,,,201.0,,0.0
17048,kaleb johnson,Kaleb Johnson,FA,,,RB,Iowa,,,,,,2025.0,,,,,,,12504.0,,72.0,,,,,18515.0,2025,,,,225.0,,0.0
17049,brashard smith,Brashard Smith,FA,,,RB,SMU,,,,,,2025.0,,,,,,,12455.0,,70.0,,,,,,2025,,,,196.0,,0.0
17050,kalel mullings,Kalel Mullings,FA,,,RB,Michigan,,,,,,2025.0,,,,,,,12516.0,,74.0,,,,,,2025,,,,233.0,,0.0
17051,quinshon judkins,Quinshon Judkins,FA,,,RB,Ohio State,,,,,,2025.0,,,,,,,12512.0,,72.0,,,,,18516.0,2025,,,,219.0,,0.0
17052,bhayshul tuten,Bhayshul Tuten,FA,,,RB,Virginia Tech,,,,,,2025.0,,,,,,,12490.0,,71.0,,,,,,2025,,,,209.0,,0.0
